Name,M,F,S,A,W,H,Cost,Notes,Weapon,Damage,Range,Notes,Set
Expert,6,+3,+3,10,+2,14,100,"Light Armour, Knife, Area of Expertise (BE p17)",Carbine,-,"24""",-,BE
Quartermaster,6,+3,+3,10,+3,14,100,"Light Armour, Knife, Filter Mask, +1 to Ship eng, +2 unlock Loot",Pistol,-,"10""",-,BE
Arsendryder,5,+3,+1,11,+1,16,-,"Immune to Crit, Toxic, Move +2 if used no action",Carbine,-,"24""",-,BE
Clicks'Clacks,6,+0*,+0,10*,+0*,10*,-,"Animal, Band Together, Nimble",Sharp Teeth,+1,-,-,BE
Living Lightning,7,+2,+3,10,+4,10,-,"Body of Energy, Immune to Toxin, Never Stunned/Wounded",Surprise Shot,-,"12""",Only triggered during enemy movement,BE
Plasmonic Lifeform,5,+2,+2,12,+2,16,-,"Immune to Crit/Toxin/Wound/Stun, Might contain Loot, Plasmonic Form",Special,-,-,BE p86,BE
Shafen,6,+2,+0,8,+6,18,-,"Amphibious, Awkward on Land",Mental Attack,-,LoS,Use Will instead of S/F. No cover. Def A = 8+W,BE
String-Life,6,+2,+2,10,+3,12,-,Special - See BE p88,Bio-Energy Wave,+2,Template,Treat as Flamethrower,BE
Ursoric,6,+5,+0,12,+3,18,-,"Animal, Bear Hug, Large (-2F if shot at), Toxic",Natural (Strong),+2,-,-,BE
Vienamon,5,+2,+0,10,+1,10,-,"Blend in, Fire vulnerability, Master of Cover, Plant Biology",Primitive Weapons,-1,-,-,BE
